frame_id,timestamp,px,py,pz,qx,qy,qz,qw
456691,1775274309.419473,1.789027214050293,0.13527625799179077,2.3144147396087646,0.01238133106380701,0.05840500816702843,0.37581223249435425,0.924770712852478
456692,1775274309.430584,1.7890956401824951,0.13531190156936646,2.3144400119781494,0.012644851580262184,0.058455999940633774,0.37560972571372986,0.9248461723327637
456693,1775274309.441695,1.789064884185791,0.13531987369060516,2.314429521560669,0.012878909707069397,0.05849721282720566,0.37513604760169983,0.9250324964523315
456694,1775274309.4528062,1.789150357246399,0.13522383570671082,2.314500570297241,0.012175455689430237,0.05875656381249428,0.375518798828125,0.9248703122138977
456695,1775274309.4639173,1.7891334295272827,0.1352095603942871,2.3144631385803223,0.01211022213101387,0.05876927822828293,0.37545230984687805,0.924897313117981
456696,1775274309.4750285,1.7891000509262085,0.1353049874305725,2.3144288063049316,0.012673385441303253,0.05844608321785927,0.37498998641967773,0.9250978827476501
456697,1775274309.4861395,1.7890983819961548,0.13534057140350342,2.3144328594207764,0.012838157825171947,0.05870794877409935,0.37502336502075195,0.9250653982162476
456698,1775274309.4972506,1.7890174388885498,0.1353806108236313,2.3143696784973145,0.01296356413513422,0.05841980129480362,0.37479308247566223,0.9251753091812134
456699,1775274309.5083618,1.7891969680786133,0.1352842003107071,2.314455032348633,0.012520507909357548,0.058565761893987656,0.3755698800086975,0.9248570799827576
456700,1775274309.5194728,1.789168119430542,0.13531862199306488,2.3144078254699707,0.012494160793721676,0.05856829509139061,0.3752502202987671,0.9249869585037231
456701,1775274309.5305839,1.7891839742660522,0.13535365462303162,2.314413547515869,0.012615637853741646,0.05852727219462395,0.3755197525024414,0.9248785972595215
456702,1775274309.541695,1.7891861200332642,0.1353071630001068,2.3143911361694336,0.01277819462120533,0.05841713771224022,0.3757116198539734,0.9248053431510925
456703,1775274309.5528061,1.7892175912857056,0.13524280488491058,2.3143839836120605,0.01247763354331255,0.05843792110681534,0.37600764632225037,0.9246878027915955
456704,1775274309.5639174,1.7892512083053589,0.13518400490283966,2.3143835067749023,0.012356222607195377,0.05839236453175545,0.376314252614975,0.9245675802230835
456705,1775274309.5750284,1.7892138957977295,0.13528349995613098,2.3143470287323,0.012878668494522572,0.05823561176657677,0.37604302167892456,0.9246807098388672
456706,1775274309.5861394,1.7892404794692993,0.13529428839683533,2.314326524734497,0.013133494183421135,0.058111101388931274,0.3762664794921875,0.9245940446853638
456707,1775274309.5972507,1.7892906665802002,0.1352374106645584,2.3143434524536133,0.012764106504619122,0.05823265761137009,0.37670981884002686,0.9244110584259033
456708,1775274309.6083617,1.7893227338790894,0.13518965244293213,2.314342737197876,0.01275484450161457,0.058267928659915924,0.37700194120407104,0.924289882183075
456709,1775274309.619473,1.7893235683441162,0.13523511588573456,2.314318895339966,0.012757689692080021,0.058227069675922394,0.3768978714942932,0.9243347644805908
456710,1775274309.630584,1.7893414497375488,0.13525767624378204,2.314326763153076,0.013257046230137348,0.0581057108938694,0.3769286572933197,0.9243228435516357
456711,1775274309.641695,1.7893348932266235,0.13528472185134888,2.314302682876587,0.013264616020023823,0.05821247398853302,0.37678253650665283,0.924375593662262
456712,1775274309.6528063,1.7894008159637451,0.13518822193145752,2.314305067062378,0.012757469899952412,0.05836180970072746,0.37719979882240295,0.9242032170295715
456713,1775274309.6639173,1.7894282341003418,0.13520289957523346,2.3142852783203125,0.012610767036676407,0.058368802070617676,0.3771810829639435,0.9242123961448669
456714,1775274309.6750283,1.7894566059112549,0.1352691799402237,2.314307689666748,0.013101288117468357,0.05848417803645134,0.37686488032341003,0.9243272542953491
456715,1775274309.6861396,1.789348840713501,0.13533709943294525,2.3142242431640625,0.01343096885830164,0.058331750333309174,0.37619635462760925,0.9246044754981995
456716,1775274309.6972506,1.7893656492233276,0.1353454738855362,2.314243793487549,0.013290194794535637,0.0587228499352932,0.3761533796787262,0.9245991706848145
456717,1775274309.7083619,1.7893426418304443,0.13535067439079285,2.3142452239990234,0.013141624629497528,0.058842599391937256,0.37588417530059814,0.9247032403945923
456718,1775274309.719473,1.789430856704712,0.13534793257713318,2.314256191253662,0.013024856336414814,0.05901322141289711,0.3758583664894104,0.9247044324874878
456719,1775274309.730584,1.7894662618637085,0.135330930352211,2.3142380714416504,0.013114381581544876,0.05899491161108017,0.3758435845375061,0.9247103333473206
456720,1775274309.7416952,1.7894409894943237,0.13533881306648254,2.314194917678833,0.012905310839414597,0.05926574394106865,0.3757815957069397,0.9247211813926697
456721,1775274309.7528062,1.7895265817642212,0.13523709774017334,2.314180612564087,0.012063556350767612,0.0591840036213398,0.37602055072784424,0.9246406555175781
456722,1775274309.7639172,1.7895829677581787,0.13526830077171326,2.314208507537842,0.012117687612771988,0.05941552668809891,0.3758637309074402,0.9246888756752014
456723,1775274309.7750285,1.789564609527588,0.13530007004737854,2.3141801357269287,0.01244437973946333,0.059483978897333145,0.37569543719291687,0.9247484803199768
456724,1775274309.7861395,1.7894891500473022,0.13537777960300446,2.3141074180603027,0.012475121766328812,0.05966050550341606,0.3753618597984314,0.9248721599578857
456725,1775274309.7972507,1.7895792722702026,0.13522456586360931,2.314154624938965,0.011788003146648407,0.05960708484053612,0.37587061524391174,0.9246779680252075
456726,1775274309.8083618,1.7895877361297607,0.13519622385501862,2.3141582012176514,0.011675751768052578,0.059564847499132156,0.3759004771709442,0.9246699810028076
456727,1775274309.8194728,1.789580225944519,0.13529905676841736,2.3141584396362305,0.012192705646157265,0.059636835008859634,0.3755549490451813,0.9247990250587463
456728,1775274309.830584,1.7895466089248657,0.1354042887687683,2.314114809036255,0.012331821955740452,0.059686411172151566,0.3753390908241272,0.924881637096405
456729,1775274309.841695,1.7896170616149902,0.13528047502040863,2.3141627311706543,0.011730823665857315,0.05967605486512184,0.3757835030555725,0.9247096180915833
456730,1775274309.852806,1.7896610498428345,0.13528236746788025,2.314189910888672,0.011513342149555683,0.059791505336761475,0.37587785720825195,0.9246666431427002
456731,1775274309.8639174,1.7896453142166138,0.13537448644638062,2.3141705989837646,0.01209680549800396,0.05955236032605171,0.3755378723144531,0.9248127341270447
456732,1775274309.8750284,1.7895480394363403,0.13538441061973572,2.314122200012207,0.012505763210356236,0.059483397752046585,0.37533867359161377,0.9248925447463989
456733,1775274309.8861396,1.7894998788833618,0.13539700210094452,2.314077138900757,0.01263436023145914,0.059691790491342545,0.375257283449173,0.9249103665351868
456734,1775274309.8972507,1.789622187614441,0.13525249063968658,2.314138650894165,0.011873186565935612,0.05975044518709183,0.3758540153503418,0.924674391746521
456735,1775274309.9083617,1.7896511554718018,0.1352728009223938,2.314133644104004,0.0118339154869318,0.059716809540987015,0.3757638931274414,0.9247137308120728
456736,1775274309.919473,1.7895768880844116,0.13532587885856628,2.3140945434570312,0.012322520837187767,0.0595630519092083,0.37543535232543945,0.9248506426811218
