px,py,pz,qx,qy,qz,qw
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
0.0,0.0,1.043081283569336e-07,1.5566978907218323e-08,-4.869421802543432e-10,-0.7071067601131236,0.7071068022599708
